0.5	1.49	0.03	-0.03	0.23	-0.2
1.5	1.61	0.02	-0.02	0.2	-0.18
2.5	1.78	0.02	-0.02	0.15	-0.17
3.5	2.03	0.02	-0.02	0.14	-0.16
4.5	2.19	0.03	-0.03	0.17	-0.13
5.5	2.57	0.05	-0.04	0.21	-0.15
6.5	2.55	0.06	-0.05	0.19	-0.16
7.5	2.67	0.08	-0.08	0.22	-0.17
0.5	1.61	0.01	-0.01	0.13	-0.15
1.5	1.72	0.01	-0.01	0.13	-0.12
2.5	1.94	0.01	-0.01	0.14	-0.1
3.5	2.2	0.02	-0.02	0.14	-0.11
4.5	2.48	0.03	-0.02	0.16	-0.12
5.5	2.66	0.04	-0.04	0.17	-0.13
6.5	2.95	0.06	-0.06	0.19	-0.16
7.5	3.0	0.08	-0.07	0.2	-0.18
0.5	1.72	0.02	-0.02	0.13	-0.1
1.5	1.88	0.01	-0.01	0.12	-0.1
2.5	2.2	0.02	-0.02	0.13	-0.11
3.5	2.35	0.02	-0.02	0.14	-0.12
4.5	2.65	0.03	-0.03	0.16	-0.14
5.5	2.9	0.05	-0.04	0.16	-0.18
6.5	3.27	0.07	-0.07	0.18	-0.21
7.5	3.44	0.11	-0.1	0.21	-0.26
0.5	1.88	0.02	-0.02	0.12	-0.11
1.5	2.04	0.02	-0.02	0.12	-0.11
2.5	2.35	0.02	-0.02	0.15	-0.12
3.5	2.69	0.03	-0.03	0.19	-0.16
4.5	3.07	0.05	-0.05	0.17	-0.19
5.5	3.15	0.08	-0.08	0.22	-0.21
6.5	3.85	0.16	-0.15	0.44	-0.44
7.5	3.93	0.32	-0.28	0.91	-0.73
0.5	2.12	0.06	-0.05	0.2	-0.19
1.5	2.31	0.04	-0.04	0.17	-0.14
2.5	2.7	0.05	-0.05	0.17	-0.17
3.5	3.33	0.09	-0.09	0.32	-0.31
4.5	3.04	0.16	-0.15	0.63	-0.55
5.5	5.6	1.0	-0.7	2.2	-1.6
1.5	1.8	0.07	-0.07	0.44	-0.38
2.5	1.72	0.03	-0.03	0.3	-0.27
3.5	1.87	0.03	-0.03	0.28	-0.26
4.5	2.12	0.03	-0.03	0.27	-0.26
5.5	2.4	0.04	-0.04	0.25	-0.27
6.5	2.54	0.06	-0.06	0.25	-0.25
7.5	2.72	0.08	-0.07	0.28	-0.24
0.5	2.1	0.23	-0.19	0.69	-0.44
1.5	1.69	0.02	-0.02	0.31	-0.2
2.5	1.97	0.01	-0.01	0.25	-0.18
3.5	2.21	0.02	-0.02	0.22	-0.17
4.5	2.48	0.02	-0.02	0.22	-0.17
5.5	2.68	0.03	-0.03	0.22	-0.17
6.5	2.8	0.05	-0.05	0.22	-0.17
7.5	3.1	0.07	-0.07	0.25	-0.19
0.5	1.83	0.12	-0.11	0.32	-0.28
1.5	1.88	0.02	-0.02	0.18	-0.19
2.5	2.09	0.01	-0.01	0.15	-0.17
3.5	2.41	0.02	-0.02	0.18	-0.15
4.5	2.55	0.03	-0.03	0.19	-0.14
5.5	2.95	0.04	-0.04	0.21	-0.16
6.5	3.01	0.06	-0.06	0.22	-0.17
7.5	3.39	0.09	-0.08	0.27	-0.2
0.5	1.66	0.13	-0.12	0.28	-0.25
1.5	2.08	0.03	-0.03	0.17	-0.17
2.5	2.25	0.02	-0.02	0.15	-0.16
3.5	2.6	0.03	-0.03	0.18	-0.15
4.5	2.96	0.04	-0.04	0.21	-0.17
5.5	3.25	0.06	-0.06	0.24	-0.2
6.5	3.92	0.11	-0.11	0.25	-0.29
7.5	3.7	0.16	-0.14	0.29	-0.34
1.5	2.25	0.06	-0.06	0.24	-0.22
2.5	2.64	0.05	-0.04	0.22	-0.19
3.5	2.81	0.06	-0.05	0.21	-0.21
4.5	3.59	0.11	-0.1	0.23	-0.29
5.5	4.51	0.24	-0.22	0.47	-0.48
6.5	4.27	0.48	-0.39	0.61	-0.5
1.5	1.3	0.28	-0.21	0.54	-0.37
2.5	1.58	0.1	-0.09	0.41	-0.32
3.5	1.94	0.1	-0.09	0.35	-0.3
4.5	2.09	0.12	-0.11	0.33	-0.26
5.5	2.82	0.2	-0.18	0.35	-0.33
6.5	2.6	0.23	-0.19	0.32	-0.28
7.5	2.5	0.27	-0.22	0.37	-0.22
1.5	1.48	0.12	-0.1	0.42	-0.24
2.5	1.76	0.05	-0.05	0.24	-0.17
3.5	2.06	0.06	-0.06	0.21	-0.19
4.5	2.35	0.09	-0.08	0.23	-0.17
5.5	3.26	0.18	-0.16	0.33	-0.2
6.5	2.94	0.2	-0.18	0.28	-0.22
7.5	2.79	0.26	-0.22	0.24	-0.25
1.5	1.83	0.14	-0.12	0.26	-0.24
2.5	2.1	0.07	-0.06	0.19	-0.17
3.5	2.44	0.08	-0.08	0.2	-0.16
4.5	2.38	0.1	-0.09	0.18	-0.15
5.5	2.56	0.14	-0.13	0.2	-0.18
6.5	3.59	0.3	-0.26	0.29	-0.28
7.5	3.47	0.38	-0.32	0.37	-0.29
1.5	2.3	0.26	-0.22	0.41	-0.31
2.5	2.77	0.13	-0.13	0.22	-0.22
3.5	2.58	0.12	-0.11	0.2	-0.18
4.5	3.42	0.21	-0.19	0.25	-0.26
5.5	3.39	0.29	-0.25	0.38	-0.26
6.5	3.58	0.47	-0.37	0.49	-0.34
7.5	4.12	0.72	-0.55	0.76	-0.56
2.5	2.71	0.36	-0.28	0.45	-0.38
3.5	2.75	0.3	-0.25	0.32	-0.27
4.5	3.28	0.48	-0.38	0.41	-0.33
5.5	4.0	1.0	-0.7	0.7	-0.6
